backend,device,dtype,size,n_end,time
torch,cuda,float32,4,2,0.016553123999983654
torch,cuda,float32,4,4,0.11171364099936909
torch,cuda,float32,4,6,0.39703347100112296
torch,cuda,float32,4,8,1.0010945300000458
torch,cuda,float32,4,10,1.9710840469997493
torch,cuda,float32,4,12,3.5137948609990417
torch,cuda,float32,4,14,5.687203400999351
torch,cuda,float32,16,2,0.015903634999631322
torch,cuda,float32,16,4,0.10810931299965887
torch,cuda,float32,16,6,0.38689229599913233
torch,cuda,float32,16,8,0.9645450099997106
torch,cuda,float32,16,10,1.9579458389998763
torch,cuda,float32,16,12,3.533826618000603
torch,cuda,float32,16,14,5.6986245259995485
torch,cuda,float32,64,2,0.015883434998613666
torch,cuda,float32,64,4,0.1093127080002887
torch,cuda,float32,64,6,0.3873475279997365
torch,cuda,float32,64,8,0.9755980539994198
torch,cuda,float32,64,10,1.986489110000548
torch,cuda,float32,64,12,3.511636551000265
torch,cuda,float32,64,14,5.762770523000654
torch,cuda,float32,256,2,0.016813725998872542
torch,cuda,float32,256,4,0.11721771900010935
torch,cuda,float32,256,6,0.40765024699976493
torch,cuda,float32,256,8,1.0136073640005634
torch,cuda,float32,256,10,2.0039283670012082
torch,cuda,float32,256,12,3.567124535000403
torch,cuda,float32,256,14,5.738147459000174
torch,cuda,float32,1024,2,0.017303722001088317
torch,cuda,float32,1024,4,0.11605664200033061
torch,cuda,float32,1024,6,0.41958793600133504
torch,cuda,float32,1024,8,1.0157271030002448
torch,cuda,float32,1024,10,2.048687926000639
torch,cuda,float32,1024,12,3.616011484999035
torch,cuda,float32,1024,14,5.848899007
torch,cuda,float64,4,2,0.015776562999235466
torch,cuda,float64,4,4,0.10849856499953603
torch,cuda,float64,4,6,0.3934865979990718
torch,cuda,float64,4,8,0.9716061379986058
torch,cuda,float64,4,10,1.9634667849986727
torch,cuda,float64,4,12,3.486401701999057
torch,cuda,float64,4,14,5.658282804999544
torch,cuda,float64,16,2,0.016307249999954365
torch,cuda,float64,16,4,0.10856961500030593
torch,cuda,float64,16,6,0.38736514700030966
torch,cuda,float64,16,8,0.9628988690001279
torch,cuda,float64,16,10,1.9675550629999634
torch,cuda,float64,16,12,3.516469963000418
torch,cuda,float64,16,14,5.666070485000091
torch,cuda,float64,64,2,0.01582927299932635
torch,cuda,float64,64,4,0.10982811999929254
torch,cuda,float64,64,6,0.39317900899914093
torch,cuda,float64,64,8,0.9766044489988417
torch,cuda,float64,64,10,1.9725499940013833
torch,cuda,float64,64,12,3.5242811999996775
torch,cuda,float64,64,14,5.776475414000743
torch,cuda,float64,256,2,0.016491532000145526
torch,cuda,float64,256,4,0.11143535999872256
torch,cuda,float64,256,6,0.3940487170002598
torch,cuda,float64,256,8,0.9858867009988899
torch,cuda,float64,256,10,1.9903130790007708
torch,cuda,float64,256,12,3.5501007279999612
torch,cuda,float64,256,14,5.742428530000325
torch,cuda,float64,1024,2,0.017852558999948087
torch,cuda,float64,1024,4,0.11651994400017429
torch,cuda,float64,1024,6,0.4099203669993585
torch,cuda,float64,1024,8,1.014725785000337
torch,cuda,float64,1024,10,2.027602124000623
torch,cuda,float64,1024,12,3.6287542630016105
torch,cuda,float64,1024,14,5.937095059998683
torch,cpu,float32,4,2,0.0074656359993241495
torch,cpu,float32,4,4,0.05018145400026697
torch,cpu,float32,4,6,0.17842490700058988
torch,cpu,float32,4,8,0.44821404600043024
torch,cpu,float32,4,10,0.9144261630008259
torch,cpu,float32,4,12,1.6222878859989578
torch,cpu,float32,4,14,2.6391364989995054
torch,cpu,float32,16,2,0.007237492998683592
torch,cpu,float32,16,4,0.05536123999991105
torch,cpu,float32,16,6,0.18013497900028597
torch,cpu,float32,16,8,0.4555950399990252
torch,cpu,float32,16,10,0.9319404750003741
torch,cpu,float32,16,12,1.6648634569992282
torch,cpu,float32,16,14,2.7027017260006687
torch,cpu,float32,64,2,0.008423037999818916
torch,cpu,float32,64,4,0.059792127000037
torch,cpu,float32,64,6,0.1852384339999844
torch,cpu,float32,64,8,0.48430514599931485
torch,cpu,float32,64,10,0.9637434800006304
torch,cpu,float32,64,12,1.7495579279984668
torch,cpu,float32,64,14,2.8749504960014747
torch,cpu,float32,256,2,0.008703251000042656
torch,cpu,float32,256,4,0.055621183000766905
torch,cpu,float32,256,6,0.20073160200081475
torch,cpu,float32,256,8,0.5352008070003649
torch,cpu,float32,256,10,1.0905021310009033
torch,cpu,float32,256,12,1.924108299999716
torch,cpu,float32,256,14,3.1722278549987095
torch,cpu,float32,1024,2,0.010793358000228181
torch,cpu,float32,1024,4,0.06884368200007884
torch,cpu,float32,1024,6,0.2712085740004113
torch,cpu,float32,1024,8,0.6750640760001261
torch,cpu,float32,1024,10,1.3861322039992956
torch,cpu,float32,1024,12,2.51115989200116
torch,cpu,float32,1024,14,4.14271145100065
torch,cpu,float64,4,2,0.007414904999677674
torch,cpu,float64,4,4,0.05010026100171672
torch,cpu,float64,4,6,0.1801488769997377
torch,cpu,float64,4,8,0.45779637200030265
torch,cpu,float64,4,10,0.9141211960013607
torch,cpu,float64,4,12,1.631206567000845
torch,cpu,float64,4,14,2.670976036999491
torch,cpu,float64,16,2,0.007404564999887953
torch,cpu,float64,16,4,0.0505813269992359
